pid,fid,pred,label
100051501.0,100051.0,0.0015413807624496173,0
100051502.0,100051.0,0.0015413807624496173,0
100810551.0,100810.0,0.0011061723177743835,0
130547103.0,100810.0,0.0018147036950100298,0
130547411.0,100810.0,0.0007989690099167553,0
101129501.0,101129.0,0.005294309337421993,0
130896105.0,101129.0,0.005294309337421993,0
130896106.0,101129.0,0.005073572770884562,0
130896107.0,101129.0,0.005294309337421993,0
130896521.0,101129.0,0.005294309337421993,0
101581553.0,101581.0,0.0007331144154566339,0
140519105.0,101581.0,0.0010078853325059282,0
101581554.0,101581.0,0.0010078853325059282,0
102438551.0,102438.0,0.00010836234784868699,0
210206103.0,102438.0,0.00016346765172508992,0
102438552.0,102438.0,0.00010836234784868699,0
102571551.0,102571.0,0.0005126591978092872,0
102571552.0,102571.0,0.0005126591978092872,0
210413102.0,102571.0,0.0005126591978092872,0
103465551.0,103465.0,0.000889749307284148,0
211584103.0,103465.0,0.0006792946358390454,0
211584571.0,103465.0,0.0003264377691210485,0
103788501.0,103788.0,1.1132357459970848e-05,0
211952103.0,103788.0,1.1132357459970848e-05,0
103788551.0,103788.0,1.1132357459970848e-05,0
103924503.0,103924.0,5.797805483156405e-05,0
220098103.0,103924.0,5.797805483156405e-05,0
103924504.0,103924.0,5.797805483156405e-05,0
106867551.0,106867.0,8.086241697960652e-06,0
330067104.0,106867.0,1.0411861639473293e-05,0
330067571.0,106867.0,1.0411861639473293e-05,0
107463551.0,107463.0,2.4578766954306065e-05,0
350103104.0,107463.0,2.4578766954306065e-05,0
108211501.0,108211.0,0.00011874109017892401,0
108371551.0,108371.0,0.08137304024018205,0
370597103.0,108371.0,0.09385263422054894,0
108371552.0,108371.0,0.09385263422054894,0
108476551.0,108476.0,3.5400025005398655e-06,0
370212103.0,108476.0,4.289165219192286e-06,0
108660552.0,108660.0,0.0001499337386938618,0
410178101.0,108660.0,0.00017034624929367816,0
410178102.0,108660.0,0.00017034624929367816,0
108998551.0,108998.0,0.0018971567599342751,0
410568107.0,108998.0,0.0016561218939015836,0
109137501.0,109137.0,3.1177189986267535e-06,0
410046102.0,109137.0,3.1177189986267535e-06,0
410046431.0,109137.0,3.1177189986267535e-06,0
109606501.0,109606.0,3.6937651144121857e-06,0
410518103.0,109606.0,4.34721710606878e-06,0
109615503.0,109615.0,0.00011748955512395607,0
109783551.0,109783.0,4.874211517474089e-08,0
410695103.0,109783.0,3.9573251398367904e-08,0
109783552.0,109783.0,3.9573251398367904e-08,0
109849551.0,109849.0,6.532961770727304e-05,0
411631103.0,109849.0,6.532961770727304e-05,0
109942551.0,109942.0,0.00011874109017892401,0
411739104.0,109942.0,0.00011874109017892401,0
109942552.0,109942.0,0.00011874109017892401,0
110003101.0,110003.0,1.3983186108824173e-05,0
110003103.0,110003.0,7.780136344811343e-06,0
110006101.0,110006.0,0.0002636458732611041,0
110006102.0,110006.0,0.0002636458732611041,0
110006103.0,110006.0,0.0002636458732611041,0
110009101.0,110009.0,3.1451983325349695e-05,0
110009102.0,110009.0,3.1451983325349695e-05,0
110009103.0,110009.0,3.1451983325349695e-05,0
110009104.0,110009.0,3.1451983325349695e-05,0
110009106.0,110009.0,3.1451983325349695e-05,0
110009107.0,110009.0,1.666032772119734e-05,0
110011101.0,110011.0,0.03340904450656564,0
110011102.0,110011.0,0.03340904450656564,0
110011103.0,110011.0,0.03340904450656564,0
110011104.0,110011.0,0.03340904450656564,0
110011105.0,110011.0,0.03340904450656564,0
110015101.0,110015.0,0.6236578702314082,1
110020101.0,110020.0,0.00015302348209462625,0
110020102.0,110020.0,0.00015302348209462625,0
110020103.0,110020.0,0.00015302348209462625,0
110020105.0,110020.0,0.00015302348209462625,0
110020107.0,110020.0,0.00015302348209462625,0
110020104.0,222320.0,0.007171335754856996,0
110020106.0,222320.0,0.007171335754856996,0
110021102.0,110021.0,9.150747642198021e-06,0
110022101.0,110022.0,2.5505254247964173e-07,0
110022102.0,110022.0,2.5505254247964173e-07,0
110022103.0,110022.0,2.5505254247964173e-07,0
110022104.0,110022.0,2.5505254247964173e-07,0
110024102.0,110024.0,0.041513416388968855,0
110026101.0,110026.0,2.1781853414284223e-06,0
110026102.0,110026.0,1.2289094372150287e-06,0
110026104.0,110026.0,2.1781853414284223e-06,0
110026103.0,110026.0,2.1781853414284223e-06,0
110030101.0,110030.0,2.082889839815155e-05,0
110030431.0,110030.0,2.082889839815155e-05,0
